,Date,Data,0.5
847,2023-10-02,1.886,
848,2023-10-09,1.903,
849,2023-10-16,1.931,
850,2023-10-23,1.914,
851,2023-10-30,1.814,
852,2023-11-06,1.765,
853,2023-11-13,1.786,
854,2023-11-20,1.795,
855,2023-11-27,1.764,
856,2023-12-04,1.694,
857,2023-12-11,1.622,
858,2023-12-18,1.586,
859,2023-12-25,1.612,
860,2024-01-01,1.556,
861,2024-01-08,1.606,
862,2024-01-15,1.591,
863,2024-01-22,1.602,
864,2024-01-29,1.636,
865,2024-02-05,1.602,
866,2024-02-12,1.538,
867,2024-02-19,1.477,
868,2024-02-26,1.446,
869,2024-03-04,1.593,
870,2024-03-11,1.668,
871,2024-03-18,1.636,
872,2024-03-25,1.62,
873,2024-04-01,1.651,
874,2024-04-08,1.693,
875,2024-04-15,1.667,
876,2024-04-22,1.709,
877,2024-04-29,1.712,
878,2024-05-06,1.769,
879,2024-05-13,1.792,
880,2024-05-20,1.779,
881,2024-05-27,1.816,
882,2024-06-03,1.805,
883,2024-06-10,1.89,
884,2024-06-17,1.931,
885,2024-06-24,2.018,
886,2024-07-01,1.944,
887,2024-07-08,1.848,
888,2024-07-15,1.821,
889,2024-07-22,1.824,
890,2024-07-29,1.8,
891,2024-08-05,1.775,
892,2024-08-12,1.79,
893,2024-08-19,1.81,
894,2024-08-26,1.885,
895,2024-09-02,1.832,
896,2024-09-09,1.754,
897,2024-09-16,1.715,
898,2024-09-23,1.696,
899,2024-09-30,1.603,
900,2024-10-07,1.573,
901,2024-10-14,1.522,
902,2024-10-21,1.564,
903,2024-10-28,1.567,
904,2024-11-04,1.573,
905,2024-11-11,1.608,
906,2024-11-18,1.648,
0,2024-11-25,,1.6583053493499755
1,2024-12-02,,1.6520284255743025
2,2024-12-09,,1.6468770546913145
3,2024-12-16,,1.6382238095998762
4,2024-12-23,,1.6330326154232024
5,2024-12-30,,1.6273857318162916
6,2025-01-06,,1.620569905757904
7,2025-01-13,,1.6159637771844864
8,2025-01-20,,1.6119123018980026
9,2025-01-27,,1.605566034078598
10,2025-02-03,,1.5985229576826094
11,2025-02-10,,1.5917045559883116
12,2025-02-17,,1.5825557981729508
13,2025-02-24,,1.5762406361103056
14,2025-03-03,,1.5710744057893753
15,2025-03-10,,1.5675506386756897
16,2025-03-17,,1.5624851553440093
17,2025-03-24,,1.5535680066347122
18,2025-03-31,,1.5486150587797165
19,2025-04-07,,1.543288049340248
20,2025-04-14,,1.53732515501976
21,2025-04-21,,1.5336322875022887
22,2025-04-28,,1.530826033115387
23,2025-05-05,,1.529572788119316
24,2025-05-12,,1.5236612083911896
25,2025-05-19,,1.5185289566516875
26,2025-05-26,,1.5130334411859512
27,2025-06-02,,1.509703639268875
28,2025-06-09,,1.5044042683839798
29,2025-06-16,,1.5014034544229506
