,Date,Data,0.5
977,2023-09-25,670124.0,
978,2023-10-02,804418.0,
979,2023-10-09,466604.0,
980,2023-10-16,472413.0,
981,2023-10-23,540785.0,
982,2023-10-30,574558.0,
983,2023-11-06,707374.0,
984,2023-11-13,601068.0,
985,2023-11-20,408885.0,
986,2023-11-27,1176452.0,
987,2023-12-04,725330.0,
988,2023-12-11,959852.0,
989,2023-12-18,1227239.0,
990,2023-12-25,569857.0,
991,2024-01-01,1092362.0,
992,2024-01-08,946417.0,
993,2024-01-15,746933.0,
994,2024-01-22,926349.0,
995,2024-01-29,645494.0,
996,2024-02-05,892335.0,
997,2024-02-12,1052245.0,
998,2024-02-19,1289093.0,
999,2024-02-26,1146082.0,
1000,2024-03-04,1166229.0,
1001,2024-03-11,1326287.0,
1002,2024-03-18,1255165.0,
1003,2024-03-25,1471882.0,
1004,2024-04-01,1442816.0,
1005,2024-04-08,1353515.0,
1006,2024-04-15,1661444.0,
1007,2024-04-22,1298351.0,
1008,2024-04-29,1299008.0,
1009,2024-05-06,1004571.0,
1010,2024-05-13,1210541.0,
1011,2024-05-20,1130328.0,
1012,2024-05-27,1416488.0,
1013,2024-06-03,1340755.0,
1014,2024-06-10,1380803.0,
1015,2024-06-17,1152950.0,
1016,2024-06-24,831195.0,
1017,2024-07-01,1023905.0,
1018,2024-07-08,1092231.0,
1019,2024-07-15,991257.0,
1020,2024-07-22,1070320.0,
1021,2024-07-29,1272127.0,
1022,2024-08-05,986183.0,
1023,2024-08-12,1206699.0,
1024,2024-08-19,917602.0,
1025,2024-08-26,966344.0,
1026,2024-09-02,839298.0,
1027,2024-09-09,568915.0,
1028,2024-09-16,1150305.0,
1029,2024-09-23,1149524.0,
1030,2024-09-30,947963.0,
1031,2024-10-07,506616.0,
1032,2024-10-14,1001162.0,
1033,2024-10-21,840435.0,
1034,2024-10-28,779078.0,
1035,2024-11-04,797247.0,
1036,2024-11-11,820608.0,
0,2024-11-25,,826427.1642150879
1,2024-12-02,,829343.7896575928
2,2024-12-09,,849280.9275054932
3,2024-12-16,,838667.5021362305
4,2024-12-23,,857573.0848846436
5,2024-12-30,,866939.0573730469
6,2025-01-06,,875482.4270324707
7,2025-01-13,,867513.2848205566
8,2025-01-20,,861329.1389007568
9,2025-01-27,,875241.1928100586
10,2025-02-03,,896623.9751586914
11,2025-02-10,,881010.3689117432
12,2025-02-17,,906281.7569274902
13,2025-02-24,,916606.4055633545
14,2025-03-03,,920750.8212432861
15,2025-03-10,,934038.3661193848
16,2025-03-17,,933221.8283843994
17,2025-03-24,,934567.5944824219
18,2025-03-31,,925101.2544708252
19,2025-04-07,,945631.4019927979
20,2025-04-14,,964381.7378997803
21,2025-04-21,,960282.6147766113
22,2025-04-28,,962505.8630218506
23,2025-05-05,,967943.5132598877
24,2025-05-12,,962303.6606140137
25,2025-05-19,,952051.5974578857
26,2025-05-26,,943038.476486206
27,2025-06-02,,946774.4765625
28,2025-06-09,,976767.3446044922
29,2025-06-16,,984934.776260376
