,Date,Data,0.5
322,2019-10-28,100.0,
323,2019-11-25,730.0,
324,2019-12-30,660.0,
325,2020-01-27,270.0,
326,2020-02-24,320.0,
327,2020-03-30,890.0,
328,2020-04-27,640.0,
329,2020-06-01,880.0,
330,2020-06-29,910.0,
331,2020-07-27,1020.0,
332,2020-08-31,1080.0,
333,2020-09-28,1140.0,
334,2020-10-26,1230.0,
335,2020-11-30,2250.0,
336,2020-12-28,3010.0,
337,2021-02-01,1780.0,
338,2021-03-01,1937.0,
339,2021-03-29,1850.0,
340,2021-04-26,3160.0,
341,2021-05-31,3565.0,
342,2021-06-28,2860.0,
343,2021-07-26,3230.0,
344,2021-08-30,3530.0,
345,2021-09-27,1300.0,
346,2021-11-01,790.0,
347,2021-11-29,1330.0,
348,2021-12-27,2750.0,
349,2022-01-31,1930.0,
350,2022-02-28,2410.0,
351,2022-03-28,2210.0,
352,2022-04-25,2080.0,
353,2022-05-30,2210.0,
354,2022-06-27,1540.0,
355,2022-08-01,1800.0,
356,2022-08-29,1530.0,
357,2022-09-26,550.0,
358,2022-10-31,740.0,
359,2022-11-28,870.0,
360,2022-12-26,2240.0,
361,2023-01-30,3090.0,
362,2023-02-27,2190.0,
363,2023-03-27,1000.0,
364,2023-05-01,1660.0,
365,2023-05-29,1850.0,
366,2023-06-26,1680.0,
367,2023-07-31,1200.0,
368,2023-08-28,1650.0,
369,2023-09-25,2040.0,
370,2023-10-30,3590.0,
371,2023-11-27,4950.0,
372,2024-01-01,3590.0,
373,2024-01-29,2600.0,
374,2024-02-26,1710.0,
375,2024-04-01,1180.0,
376,2024-04-29,1050.0,
377,2024-05-27,920.0,
378,2024-07-01,1090.0,
379,2024-07-29,430.0,
380,2024-08-26,310.0,
381,2024-09-30,250.0,
0,2024-11-25,,254.3179510831833
1,2024-12-02,,244.04769599437714
2,2024-12-09,,234.18069279193878
3,2024-12-16,,224.61472535133362
4,2024-12-23,,216.1499079465866
5,2024-12-30,,208.23796451091766
6,2025-01-06,,200.79132878780365
7,2025-01-13,,193.71059095859528
8,2025-01-20,,186.00124061107635
9,2025-01-27,,178.65526723861694
10,2025-02-03,,173.5156844854355
11,2025-02-10,,167.5925716161728
12,2025-02-17,,161.62549328804016
13,2025-02-24,,156.0599386692047
14,2025-03-03,,150.8769612312317
15,2025-03-10,,145.58510863780975
16,2025-03-17,,141.02576529979706
17,2025-03-24,,136.48184871673584
18,2025-03-31,,132.42637997865677
19,2025-04-07,,127.49505841732025
20,2025-04-14,,124.05425786972046
21,2025-04-21,,120.69786846637726
22,2025-04-28,,117.40171158313751
23,2025-05-05,,113.68915122747421
24,2025-05-12,,110.74023109674454
25,2025-05-19,,107.50344264507294
26,2025-05-26,,104.29493921995163
27,2025-06-02,,101.6679277420044
28,2025-06-09,,99.12256866693497
29,2025-06-16,,96.38439100980759
