,Date,Data,0.5
778,2019-10-28,99.15,
779,2019-11-25,99.14,
780,2019-12-30,99.092,
781,2020-01-27,99.06,
782,2020-02-24,97.662,
783,2020-03-30,92.633,
784,2020-04-27,94.332,
785,2020-06-01,96.166,
786,2020-06-29,97.717,
787,2020-07-27,98.436,
788,2020-08-31,98.727,
789,2020-09-28,99.085,
790,2020-10-26,99.48,
791,2020-11-30,99.898,
792,2020-12-28,100.274,
793,2021-02-01,100.65,
794,2021-03-01,100.98,
795,2021-03-29,101.254,
796,2021-04-26,101.335,
797,2021-05-31,101.342,
798,2021-06-28,101.291,
799,2021-07-26,101.217,
800,2021-08-30,101.154,
801,2021-09-27,101.108,
802,2021-11-01,101.071,
803,2021-11-29,101.021,
804,2021-12-27,100.939,
805,2022-01-31,100.817,
806,2022-02-28,100.64,
807,2022-03-28,100.406,
808,2022-04-25,100.12,
809,2022-05-30,99.824,
810,2022-06-27,99.564,
811,2022-08-01,99.357,
812,2022-08-29,99.187,
813,2022-09-26,99.044,
814,2022-10-31,98.932,
815,2022-11-28,98.863,
816,2022-12-26,98.783,
817,2023-01-30,98.761,
818,2023-02-27,98.757,
819,2023-03-27,98.79,
820,2023-05-01,98.86,
821,2023-05-29,98.959,
822,2023-06-26,99.057,
823,2023-07-31,99.133,
824,2023-08-28,99.185,
825,2023-09-25,99.231,
826,2023-10-30,99.305,
827,2023-11-27,99.419,
828,2024-01-01,99.569,
829,2024-01-29,99.724,
830,2024-02-26,99.854,
831,2024-04-01,99.925,
832,2024-04-29,99.945,
833,2024-05-27,99.946,
834,2024-07-01,99.97,
835,2024-07-29,100.028,
836,2024-08-26,100.125,
837,2024-09-30,100.25,
0,2024-11-25,,100.24113785731792
1,2024-12-02,,100.2634310261011
2,2024-12-09,,100.28657243442535
3,2024-12-16,,100.3088058680296
4,2024-12-23,,100.3310751427412
5,2024-12-30,,100.35242449569702
6,2025-01-06,,100.37431146526336
7,2025-01-13,,100.39515904271602
8,2025-01-20,,100.41630529606341
9,2025-01-27,,100.43634047508239
10,2025-02-03,,100.45647123038768
11,2025-02-10,,100.47675729715823
12,2025-02-17,,100.49617123031615
13,2025-02-24,,100.51534622275828
14,2025-03-03,,100.53449732112884
15,2025-03-10,,100.55280017995834
16,2025-03-17,,100.57140171468258
17,2025-03-24,,100.58859349918365
18,2025-03-31,,100.60635874140262
19,2025-04-07,,100.62338326740264
20,2025-04-14,,100.64129187405109
21,2025-04-21,,100.65771904826164
22,2025-04-28,,100.67476746833324
23,2025-05-05,,100.69118269550799
24,2025-05-12,,100.70783686339854
25,2025-05-19,,100.72360695064067
26,2025-05-26,,100.73944872009754
27,2025-06-02,,100.75582810616493
28,2025-06-09,,100.77212386298179
29,2025-06-16,,100.7887063486576
